Kod;Nazwa;Bezrobocie;Wynagrodzenia;Ludnosckm2;Cenam2;Firmy1000os
861000;Powiat m. Gorzów Wielkopolski;2,3;5 890,85;1 358,20;5 400;9,7
862000;Powiat m. Zielona Góra;2,6;6 462,80;500,5;5 873;8,8
1001000;Powiat bełchatowski;5,1;8 140,22;112,7;4 192;7
1002000;Powiat kutnowski;7,6;5 800,64;103,2;5 211;6,5
1003000;Powiat łaski;7,3;5 241,99;79,2;4 406;6,1
1004000;Powiat łęczycki;6,1;6 026,04;60,8;4 142;5,4
1005000;Powiat łowicki;5,1;5 395,60;75,5;5 345;5
1006000;Powiat łódzki wschodni;5,8;5 475,31;148,8;5 179;5,8
1007000;Powiat opoczyński;8,1;5 462,96;69,5;4 908;4,9
1008000;Powiat pabianicki;5,8;5 650,74;242,4;4 942;7,5
1009000;Powiat pajęczański;8,2;5 467,17;61;5 464;4,2
1010000;Powiat piotrkowski;6,1;5 278,96;63,4;4 000;3,2
1011000;Powiat poddębicki;6,8;7 377,24;45;5 114;4,6
1012000;Powiat radomszczański;4,7;5 333,33;74,5;5 085;5,4
1013000;Powiat rawski;3,5;5 550,93;71,8;5 086;5,7
1014000;Powiat sieradzki;5,6;5 626,08;75,4;4 784;5,4
1015000;Powiat skierniewicki;4,4;5 408,39;50,2;0;3,4
1016000;Powiat tomaszowski;7,7;5 478,29;108,8;5 314;5,8
1017000;Powiat wieluński;6,1;5 497,22;79;5 446;5,7
1018000;Powiat wieruszowski;5,2;5 075,66;72;5 563;6,5
1019000;Powiat zduńskowolski;6,5;5 607,97;172,7;4 927;6,9
1020000;Powiat zgierski;5,1;6 024,38;194,7;4 981;6,1
1021000;Powiat brzeziński;7,7;5 262,32;84,4;3 589;4,8
1061000;Powiat m. Łódź;4,5;6 629,23;2 245,30;6 749;9,4
1062000;Powiat m. Piotrków Trybunalski;5,3;5 465,30;1 000,40;5 703;10,3
1063000;Powiat m. Skierniewice;4,5;5 797,49;1 316,80;5 769;9,2
1201000;Powiat bocheński;3;5 642,88;164,7;5 689;5,2
1202000;Powiat brzeski;4,7;5 127,71;155,5;5 882;3,8
1203000;Powiat chrzanowski;6,3;6 020,61;323,7;4 751;5,5
1204000;Powiat dąbrowski;11,3;5 271,12;109;4 171;3,4
1205000;Powiat gorlicki;6,1;5 027,39;109,5;4 466;4,9
1206000;Powiat krakowski;4,6;6 385,62;244;6 302;5,3
1207000;Powiat limanowski;7,3;5 183,78;138,3;4 787;4,5
1208000;Powiat miechowski;5;5 415,22;69,5;5 840;3,8
1209000;Powiat myślenicki;3,3;5 603,51;192,5;6 402;4,9
1210000;Powiat nowosądecki;8,7;5 134,07;138,7;5 273;3,9
1211000;Powiat nowotarski;4,8;5 168,93;128,9;7 648;4,7
1212000;Powiat olkuski;7,5;5 894,22;172,8;5 000;6,5
1213000;Powiat oświęcimski;5,5;5 899,89;367,6;5 574;5,5
1214000;Powiat proszowicki;6,1;5 577,77;101,9;5 556;4,4
1215000;Powiat suski;4,3;5 555,61;121,2;4 521;4,8
1216000;Powiat tarnowski;7,1;5 010,43;140;3 910;3,8
1217000;Powiat tatrzański;7,8;5 519,76;141,1;12 579;5,1
1218000;Powiat wadowicki;5,2;5 385,08;244,4;5 447;6,2
1219000;Powiat wielicki;3,5;6 201,22;346;6 207;5,5
1261000;Powiat m. Kraków;2,3;8 157,43;2 457,60;10 436;11,5
1262000;Powiat m. Nowy Sącz;3,3;5 478,44;1 399,10;5 295;10,8
1263000;Powiat m. Tarnów;4,4;6 721,47;1 436,50;5 353;11
1401000;Powiat białobrzeski;7,7;5 563,78;51;4 579;4,6
1402000;Powiat ciechanowski;8,3;6 213,79;80,8;4 926;5,4
1403000;Powiat garwoliński;9,9;5 700,38;82,2;5 124;5,1
1404000;Powiat gostyniński;11,8;5 806,09;69,3;4 822;4,8
1405000;Powiat grodziski;2,7;7 139,72;284,6;5 910;5,7
1406000;Powiat grójecki;2,4;6 247,81;76,8;5 449;4,5
1407000;Powiat kozienicki;10,3;7 274,27;62,8;4 716;5,3
1408000;Powiat legionowski;5,5;6 034,24;333,4;6 497;4,5
1409000;Powiat lipski;12,7;5 595,82;43;4 383;4,4
1410000;Powiat łosicki;5,2;5 362,58;37,5;3 829;4,5
1411000;Powiat makowski;16,4;5 493,65;39,6;3 697;3,6
1412000;Powiat miński;4,4;5 785,24;136,7;6 085;4,6
1413000;Powiat mławski;5,7;5 385,65;58,8;4 647;6,2
1414000;Powiat nowodworski;5,9;7 534,84;114,7;6 262;7,1
1415000;Powiat ostrołęcki;9,1;5 661,05;41,8;3 557;2,2
1416000;Powiat ostrowski;8,9;5 729,10;56,6;4 888;3,9
1417000;Powiat otwocki;3,4;6 468,80;205,6;7 072;7,3
1418000;Powiat piaseczyński;3,4;6 499,96;341,6;7 293;6,6
1419000;Powiat płocki;10,6;5 772,84;61,1;3 955;4
1420000;Powiat płoński;10,3;5 660,12;61,2;4 677;4,3
1421000;Powiat pruszkowski;2,2;7 516,43;722,6;7 356;8
1422000;Powiat przasnyski;9;5 756,31;40,5;4 249;4,3
1423000;Powiat przysuski;19,7;5 564,37;48,7;3 805;3
1424000;Powiat pułtuski;14,1;5 503,60;61,1;4 175;4,3
1425000;Powiat radomski;16,4;5 412,43;98,8;3 756;4
1426000;Powiat siedlecki;5;5 411,82;50,2;3 348;3,5
1427000;Powiat sierpecki;11,5;5 505,06;57,1;4 173;5,6
1428000;Powiat sochaczewski;3;6 994,09;113,4;5 739;6,1
1429000;Powiat sokołowski;5,6;5 459,15;44,7;4 560;5,4
1430000;Powiat szydłowiecki;24,6;5 271,91;83,7;4 363;4
1432000;Powiat warszawski zachodni;1,6;7 077,31;249,6;6 919;8,3
1433000;Powiat węgrowski;5,7;5 786,65;51;4 909;4,4
1434000;Powiat wołomiński;6,5;6 065,79;286,7;6 280;5,1
1435000;Powiat wyszkowski;3,6;5 551,98;83,8;5 286;4,9
1436000;Powiat zwoleński;13;5 638,92;60,3;3 294;3,6
1437000;Powiat żuromiński;15;5 390,60;44,5;4 056;3,2
1438000;Powiat żyrardowski;8,5;6 403,00;141,6;5 532;6,2
1461000;Powiat m. Ostrołęka;7,6;6 673,91;1 455,80;5 257;8,3
1462000;Powiat m. Płock;6;7 898,47;1 277,60;5 496;10,9
1463000;Powiat m. Radom;9,4;6 182,33;1 769,70;5 794;7,6
1464000;Powiat m. Siedlce;4;6 234,01;2 373,60;6 309;8,6
1465000;Powiat m. st. Warszawa;1,5;8 540,11;3 600,10;12 323;17,6
1601000;Powiat brzeski;7,9;5 723,46;99;4 252;5,6
1602000;Powiat głubczycki;10;5 978,21;64;2 391;6,3
1603000;Powiat kędzierzyńsko-kozielski;7,4;6 760,49;139,2;3 702;6,2
1604000;Powiat kluczborski;6,9;5 681,23;72,4;3 309;5,4
1605000;Powiat krapkowicki;5,1;6 424,68;135,7;4 331;6,4
1606000;Powiat namysłowski;8,9;5 829,33;56,4;4 084;4,5
1607000;Powiat nyski;7,3;5 717,73;105,7;4 009;5,7
1608000;Powiat oleski;4,4;5 527,82;63,3;3 863;5,7
1609000;Powiat opolski;5,7;5 740,58;78,7;4 152;4,5
1610000;Powiat prudnicki;9,1;5 463,74;90,9;2 450;4,9
1611000;Powiat strzelecki;4,4;6 081,35;96,3;3 792;5,6
1661000;Powiat m. Opole;3,1;6 560,39;848,5;6 519;12,3
1801000;Powiat bieszczadzki;15,7;5 747,22;18,2;3 888;4,5
1802000;Powiat brzozowski;21,5;5 049,05;117,9;4 120;3,7
1803000;Powiat dębicki;4,7;5 507,67;171;4 642;5,9
1804000;Powiat jarosławski;11,3;5 308,03;113,2;4 107;5,1
1805000;Powiat jasielski;12,7;5 453,40;131,9;4 507;4,8
1806000;Powiat kolbuszowski;7,9;5 082,42;79,4;5 643;3,5
1807000;Powiat krośnieński;7,5;4 841,46;110;3 153;3,5
1808000;Powiat leżajski;14,8;5 374,02;114,8;3 809;4,2
1809000;Powiat lubaczowski;10,4;5 116,12;40,5;3 027;3,8
1810000;Powiat łańcucki;9,8;5 344,40;178,8;4 915;4,3
1811000;Powiat mielecki;4,4;5 845,43;151,4;5 050;6,2
1812000;Powiat niżański;16,6;5 022,68;81,5;4 266;3,6
1813000;Powiat przemyski;16;5 052,75;58,9;3 342;2,6
1814000;Powiat przeworski;14,4;5 110,08;109;3 397;4,1
1815000;Powiat ropczycko-sędziszowski;11,1;5 343,80;135,1;4 597;4,3
1816000;Powiat rzeszowski;8;5 684,10;152,7;4 629;4,5
1817000;Powiat sanocki;7,8;5 266,08;78,1;5 103;5,5
1818000;Powiat stalowowolski;4,5;5 817,58;122,2;5 466;6,9
1819000;Powiat strzyżowski;17,7;4 831,84;118,2;3 744;3,6
1820000;Powiat tarnobrzeski;7,5;5 746,03;98,5;4 686;4,7
1821000;Powiat leski;19;5 831,15;30,6;3 677;4,3
1861000;Powiat m. Krosno;2,7;5 420,94;991,3;4 569;12,3
1862000;Powiat m. Przemyśl;10,5;5 454,18;1 230,30;4 340;9,4
1863000;Powiat m. Rzeszów;4,4;6 508,96;1 528,40;6 629;10,6
1864000;Powiat m. Tarnobrzeg;6,9;5 478,64;517;4 875;8,6
2001000;Powiat augustowski;10,1;6 050,82;33,1;5 810;4,3
2002000;Powiat białostocki;7,5;5 597,60;52,5;5 084;4,6
2003000;Powiat bielski;4,2;6 839,68;36,9;5 874;5
2004000;Powiat grajewski;11,6;6 144,83;46,2;4 382;4,2
2005000;Powiat hajnowski;8,1;6 773,76;24,3;3 985;5,3
2006000;Powiat kolneński;16,1;5 471,56;38,2;4 230;3,2
2007000;Powiat łomżyński;5,2;6 087,64;36,7;3 586;2,5
2008000;Powiat moniecki;7,3;5 531,47;27,3;3 441;3,3
2009000;Powiat sejneński;9,8;6 308,40;22;3 887;4,3
2010000;Powiat siemiatycki;6;5 439,21;28,2;4 161;4,2
2011000;Powiat sokólski;11,1;5 506,16;30,2;4 617;3,7
2012000;Powiat suwalski;5;5 323,60;26,6;3 019;2,5
2013000;Powiat wysokomazowiecki;7;6 070,52;41,8;5 128;4,1
2014000;Powiat zambrowski;6,7;5 601,17;56,7;4 763;4,5
2061000;Powiat m. Białystok;5,2;6 183,98;2 865,00;6 607;8,4
2062000;Powiat m. Łomża;6,9;5 827,01;1 840,50;5 822;6,8
2063000;Powiat m. Suwałki;5,3;5 547,59;1 046,00;5 750;5,9
2201000;Powiat bytowski;9,3;5 961,47;35;4 248;5,4
2202000;Powiat chojnicki;8,4;5 433,86;70,5;4 763;6,6
2203000;Powiat człuchowski;10,1;5 613,05;34;3 254;6,1
2204000;Powiat gdański;3,7;6 466,20;163,7;6 361;5,1
2205000;Powiat kartuski;3,2;5 651,36;135,6;5 643;5
2206000;Powiat kościerski;7,2;5 458,75;62;5 522;5,2
2207000;Powiat kwidzyński;5,9;5 839,35;96,6;4 285;6,5
2208000;Powiat lęborski;10,5;5 918,89;90,3;4 686;5,9
2209000;Powiat malborski;8,5;5 340,19;123,4;4 660;6
2210000;Powiat nowodworski;12,3;5 749,44;50,2;6 426;4,7
2211000;Powiat pucki;6;5 893,38;156,5;7 689;4,8
2212000;Powiat słupski;7,8;5 628,96;41,6;4 469;5,5
2213000;Powiat starogardzki;5,6;6 430,22;93,2;4 973;5,9
